pde,r,reference_scope,scope_label,evaluation_scope,weighting,n_model_seeds,n_modes,mode_min,mode_max,mean_rmse_pde_reference,mean_rmse_identity,mean_delta_identity_minus_pde,mean_delta_ci_lower,mean_delta_ci_upper,fraction_model_seeds_closer_to_pde,confidence_level,bootstrap_replicates,bootstrap_seed,resampling_unit,interpretation
heat,0.1,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,20,5,1,5,0.0018051261446451754,0.004282095995647136,0.0024769698510019597,0.0021517072159959153,0.0027879499156991277,1.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.1,full_one_step,k1_5_uniform,in_support_k1_5,uniform,20,5,1,5,0.00450844381716939,0.008958703810170734,0.004450259993001345,0.003552036051559577,0.005296601104368243,0.95,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.1,full_one_step,k6_8_uniform,near_support_k6_8,uniform,20,3,6,8,0.03949267672072958,0.007834509461173835,-0.03165816725955574,-0.0323041786257698,-0.031028829147211407,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.1,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,20,24,9,32,0.280442436562678,0.008323785395845341,-0.2721186511668327,-0.2731572628947459,-0.2710902613546658,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.25,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,20,5,1,5,0.007605612555217109,0.008140025304713664,0.000534412749496555,-0.0003195529112353102,0.0013745793203144743,0.55,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.25,full_one_step,k1_5_uniform,in_support_k1_5,uniform,20,5,1,5,0.018905417107231016,0.01536153201226378,-0.0035438850949672347,-0.005903634629812785,-0.0012255144638957862,0.3,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.25,full_one_step,k6_8_uniform,near_support_k6_8,uniform,20,3,6,8,0.10368262050472594,0.014176698809424895,-0.08950592169530104,-0.09079183327749946,-0.08820464204833173,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.25,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,20,24,9,32,0.7073315771150248,0.014044723848700874,-0.6932868532663239,-0.6949457924757289,-0.6914820698878091,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.4,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,20,5,1,5,0.014025327999680232,0.011621945432648351,-0.002403382567031885,-0.003406654639570633,-0.0013427707486348423,0.2,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
heat,0.4,full_one_step,k1_5_uniform,in_support_k1_5,uniform,20,5,1,5,0.03459598741206791,0.020731543487955813,-0.013864443924112105,-0.01657201385989514,-0.01103548195685143,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,positive delta means the PDE reference is closer; negative delta means identity is closer
